var_name,bin_value_list,split_left,split_right,sub_sample_cnt,sub_sample_bad_cnt,sub_sample_good_cnt,woe,iv_list,iv_sum
PAY_0,,-inf,-1.0,8445,1319,7126,-0.4282,0.0455,0.8694
PAY_0,,-1.0,0.0,14737,1888,12849,-0.6591,0.1749,0.8694
PAY_0,,0.0,1.0,3688,1252,2436,0.5931,0.0501,0.8694
PAY_0,,1.0,inf,3130,2177,953,2.0848,0.5989,0.8694
PAY_2,,-inf,-2.0,3782,691,3091,-0.2394,0.0067,0.5469
PAY_2,,-2.0,-1.0,6050,966,5084,-0.4020,0.0290,0.5469
PAY_2,,-1.0,1.0,15758,2508,13250,-0.4058,0.0768,0.5469
PAY_2,,1.0,inf,4410,2471,1939,1.5011,0.4344,0.5469
PAY_3,,-inf,-2.0,4085,757,3328,-0.2221,0.0063,0.4124
PAY_3,,-2.0,-1.0,5938,926,5012,-0.4300,0.0322,0.4124
PAY_3,,-1.0,1.0,15768,2752,13016,-0.2952,0.0420,0.4124
PAY_3,,1.0,inf,4209,2201,2008,1.3505,0.3319,0.4124
PAY_4,,-inf,-2.0,4348,837,3511,-0.1751,0.0042,0.3592
PAY_4,,-2.0,-1.0,5687,904,4783,-0.4073,0.0279,0.3592
PAY_4,,-1.0,0.0,16455,3016,13439,-0.2355,0.0284,0.3592
PAY_4,,0.0,inf,3510,1879,1631,1.4002,0.2987,0.3592
PAY_6,,-inf,-2.0,4895,981,3914,-0.1251,0.0025,0.2852
PAY_6,,-2.0,-1.0,5740,975,4765,-0.3279,0.0187,0.2852
PAY_6,,-1.0,0.0,16286,3069,13217,-0.2015,0.0208,0.2852
PAY_6,,0.0,inf,3079,1611,1468,1.3516,0.2432,0.2852
LIMIT_BAL,,-inf,40000.0,4311,1555,2756,0.6864,0.0799,0.1781
LIMIT_BAL,,40000.0,70000.0,4921,1328,3593,0.2634,0.0122,0.1781
LIMIT_BAL,,70000.0,140000.0,6058,1439,4619,0.0925,0.0018,0.1781
LIMIT_BAL,,140000.0,200000.0,5088,897,4191,-0.2830,0.0125,0.1781
LIMIT_BAL,,200000.0,260000.0,3426,567,2859,-0.3592,0.0133,0.1781
LIMIT_BAL,,260000.0,inf,6196,850,5346,-0.5802,0.0584,0.1781
PAY_AMT1,,-inf,17.0,5404,1938,3466,0.6773,0.0973,0.1724
PAY_AMT1,,17.0,5000.0,17032,3658,13374,-0.0377,0.0008,0.1724
PAY_AMT1,,5000.0,9666.0,3859,588,3271,-0.4574,0.0235,0.1724
PAY_AMT1,,9666.0,inf,3705,452,3253,-0.7150,0.0508,0.1724
PAY_AMT2,,-inf,78.68,5651,1886,3765,0.5674,0.0698,0.1539
PAY_AMT2,,78.68,1500.0,5882,1405,4477,0.0998,0.0020,0.1539
PAY_AMT2,,1500.0,4819.81,10367,2214,8153,-0.0449,0.0007,0.1539
PAY_AMT2,,4819.81,9676.15,4455,720,3735,-0.3876,0.0199,0.1539
PAY_AMT2,,9676.15,inf,3645,411,3234,-0.8042,0.0615,0.1539
PAY_AMT3,,-inf,0.0,5968,1931,4037,0.5212,0.0616,0.1257
PAY_AMT3,,0.0,2436.53,11940,2713,9227,0.0346,0.0005,0.1257
PAY_AMT3,,2436.53,4500.0,4587,906,3681,-0.1432,0.0030,0.1257
PAY_AMT3,,4500.0,7000.0,3047,495,2552,-0.3814,0.0132,0.1257
PAY_AMT3,,7000.0,inf,4458,591,3867,-0.6197,0.0474,0.1257
PAY_AMT4,,-inf,0.0,6408,1993,4415,0.4633,0.0516,0.1081
PAY_AMT4,,0.0,1004.58,6438,1476,4962,0.0462,0.0005,0.1081
PAY_AMT4,,1004.58,2005.0,4857,1119,3738,0.0526,0.0005,0.1081
PAY_AMT4,,2005.0,4000.0,4761,913,3848,-0.1799,0.0049,0.1081
PAY_AMT4,,4000.0,9509.0,4522,727,3795,-0.3938,0.0208,0.1081
PAY_AMT4,,9509.0,inf,3014,408,2606,-0.5956,0.0298,0.1081
PAY_AMT6,,-inf,0.0,7173,2078,5095,0.3618,0.0344,0.0963
PAY_AMT6,,0.0,844.78,4021,991,3030,0.1411,0.0028,0.0963
PAY_AMT6,,844.78,2000.0,6561,1509,5052,0.0504,0.0006,0.0963
PAY_AMT6,,2000.0,4000.0,4762,947,3815,-0.1347,0.0028,0.0963
PAY_AMT6,,4000.0,8000.0,4004,660,3344,-0.3640,0.0159,0.0963
PAY_AMT6,,8000.0,inf,3479,451,3028,-0.6455,0.0398,0.0963
PAY_AMT5,,-inf,0.0,6703,1970,4733,0.3822,0.0360,0.0904
PAY_AMT5,,0.0,1297.0,7303,1686,5617,0.0552,0.0008,0.0904
PAY_AMT5,,1297.0,2000.0,3595,853,2742,0.0910,0.0010,0.0904
PAY_AMT5,,2000.0,4322.44,5208,1029,4179,-0.1428,0.0034,0.0904
PAY_AMT5,,4322.44,9038.0,4092,700,3392,-0.3194,0.0127,0.0904
PAY_AMT5,,9038.0,inf,3099,398,2701,-0.6562,0.0365,0.0904
PAY_5,,-inf,-2.0,4546,895,3651,-0.1472,0.0032,0.0382
PAY_5,,-2.0,-1.0,5539,897,4642,-0.3852,0.0245,0.0382
PAY_5,,-1.0,inf,19915,4844,15071,0.1237,0.0105,0.0382
EDUCATION,"[0, 4, 5, 6, 1]",,,11053,2069,8984,-0.2097,0.0153,0.0242
EDUCATION,[2],,,14030,3330,10700,0.0914,0.0040,0.0242
EDUCATION,[3],,,4917,1237,3680,0.1685,0.0049,0.0242
AGE,,-inf,25.0,3871,1032,2839,0.2467,0.0084,0.0212
AGE,,25.0,28.0,4142,852,3290,-0.0924,0.0011,0.0212
AGE,,28.0,30.0,3000,587,2413,-0.1549,0.0023,0.0212
AGE,,30.0,33.0,3521,669,2852,-0.1913,0.0041,0.0212
AGE,,33.0,45.0,10797,2318,8479,-0.0382,0.0005,0.0212
AGE,,45.0,inf,4669,1178,3491,0.1723,0.0048,0.0212
BILL_AMT5,,-inf,390.0,5190,1251,3939,0.1117,0.0022,0.0200
BILL_AMT5,,390.0,2500.0,3065,631,2434,-0.0913,0.0008,0.0200
BILL_AMT5,,2500.0,12429.0,4742,884,3858,-0.2148,0.0069,0.0200
BILL_AMT5,,12429.0,23471.86,4215,1068,3147,0.1780,0.0047,0.0200
BILL_AMT5,,23471.86,52319.96,5588,1341,4247,0.1059,0.0022,0.0200
BILL_AMT5,,52319.96,93441.2,3168,618,2550,-0.1587,0.0025,0.0200
BILL_AMT5,,93441.2,inf,4032,843,3189,-0.0718,0.0007,0.0200
BILL_AMT6,,-inf,398.57,5805,1343,4462,0.0580,0.0007,0.0187
BILL_AMT6,,398.57,2652.7,3155,652,2503,-0.0865,0.0008,0.0187
BILL_AMT6,,2652.7,12252.2,4540,843,3697,-0.2196,0.0069,0.0187
BILL_AMT6,,12252.2,22640.84,3856,994,2862,0.2011,0.0055,0.0187
BILL_AMT6,,22640.84,51296.73,5549,1344,4205,0.1181,0.0027,0.0187
BILL_AMT6,,51296.73,102998.04,3689,770,2919,-0.0739,0.0007,0.0187
BILL_AMT6,,102998.04,inf,3406,690,2716,-0.1115,0.0014,0.0187
BILL_AMT4,,-inf,671.8,5381,1274,4107,0.0882,0.0014,0.0154
BILL_AMT4,,671.8,5711.63,4117,781,3336,-0.1933,0.0048,0.0154
BILL_AMT4,,5711.63,15516.0,3955,835,3120,-0.0595,0.0005,0.0154
BILL_AMT4,,15516.0,23176.59,3085,808,2277,0.2226,0.0054,0.0154
BILL_AMT4,,23176.59,57583.0,6263,1462,4801,0.0697,0.0010,0.0154
BILL_AMT4,,57583.0,104354.16,3456,725,2731,-0.0676,0.0005,0.0154
BILL_AMT4,,104354.16,inf,3743,751,2992,-0.1236,0.0018,0.0154
BILL_AMT1,,-inf,440.0,3785,932,2853,0.1399,0.0026,0.0132
BILL_AMT1,,440.0,12371.52,7919,1669,6250,-0.0617,0.0010,0.0132
BILL_AMT1,,12371.52,21720.9,3161,814,2347,0.1998,0.0044,0.0132
BILL_AMT1,,21720.9,52204.9,6135,1410,4725,0.0494,0.0005,0.0132
BILL_AMT1,,52204.9,92004.2,3600,756,2844,-0.0662,0.0005,0.0132
BILL_AMT1,,92004.2,inf,5400,1055,4345,-0.1568,0.0042,0.0132
SEX,[2],,,18112,3763,14349,-0.0798,0.0038,0.0092
